,Type,Item,Description,Sales Tax Code,Quantity On Hand,Price
,Non-inventory Part,017-Q076,Turn buckle,Tax,,40
,Non-inventory Part,017-Q077,Hercules track (sold by pair only),Tax,,550
,Non-inventory Part,017-Q079,Trolley,Tax,,84
,Non-inventory Part,017-Q080,Dolly latch,Tax,,65
,Non-inventory Part,017-Q085,Trolley cover,Tax,,90
,Non-inventory Part,017-Q088,Arm assembly,Tax,,78
,Non-inventory Part,017-Q089,Hercules trolley body assembly,Tax,,305
,Non-inventory Part,017-Q091,Idler Wheel Hercules,Tax,,60
,Non-inventory Part,017-Q092,Elite Overhead Motor Mounts,Tax,,30
,Non-inventory Part,017-Q098,Battery Pack,Tax,,130
,Non-inventory Part,017-Q103,SW swivel arm assay,Tax,,195
,Non-inventory Part,017-Q108,Gearbox heater,Tax,,280
,Non-inventory Part,017-Q112,"SL-300,CSW-200 AND HERCULES operator hardness old style.",Tax,,50
,Non-inventory Part,017-Q127A0070,Miracle 1 Microprocessor Chip,Tax,,90
,Non-inventory Part,017-Q133,Robo slide drive sprocket,Tax,,60
,Non-inventory Part,017-Q171,Omni Expansion Board,Tax,,120
,Non-inventory Part,017-Q172,Power Wheels,Tax,,100
,Non-inventory Part,017-Q208,Clutch Assembly,Tax,,170
,Non-inventory Part,017-Q210,Gear Box new style upper csw-200,Tax,,564
,Non-inventory Part,017-Q212,Gearbox k32-50225,Tax,,360
,Non-inventory Part,017-Q216,Shaft out put.,Tax,,85
,Non-inventory Part,017-Q220,CSW-200 Chassis,Tax,,600
,Non-inventory Part,017-Q223,Control Board Miracle 1-Master & Slave,Tax,,550
,Non-inventory Part,017-Q224,Hasp,Tax,,10
,Non-inventory Part,017-Q230,Ope4rator mounting plates.,Tax,,200
,Non-inventory Part,017-Q237,Crank Input,Tax,,55
,Non-inventory Part,017-Q238,Limit switch cam,Tax,,50
,Non-inventory Part,017-Q239,Miracle limit assembly,Tax,,150
,Non-inventory Part,017-Q248,Hercules Gear Box,Tax,,560
,Non-inventory Part,017-Q254,Sl300 plastic cover,Tax,,260
,Non-inventory Part,017-Q257,Com Lock with Key,Tax,,45
,Non-inventory Part,017-Q268,CSW-200 arm cover,Tax,,75
,Non-inventory Part,017-Q300,Miracle carriage,Tax,,90
,Non-inventory Part,017-Q310,Surge Protector Board,Tax,,250
,Non-inventory Part,017-Q320,Limit Assembly,Tax,,250
,Non-inventory Part,017-Q333,Key Release,Tax,,45
,Non-inventory Part,017-Q334,Elite Key,Tax,,5
,Non-inventory Part,017-q335,Slider UL-cover,Tax,,350
,Non-inventory Part,017-Q336,Miracle-1 mag-relay assy.,Tax,,50
,Non-inventory Part,017-Q337,Miracle-1 mounting brackets.,Tax,,85
,Non-inventory Part,017-Q400,New style control board,Tax,,450
,Non-inventory Part,017-Q400E,Elite Omni board,Tax,,500
,Non-inventory Part,017-Q400Eomniupkit,Control board upgrade kit and surge protector.,Tax,,690
,Non-inventory Part,017-Q404,Siren,Tax,,80
,Non-inventory Part,017-Q999,New Actuator arm only.,Tax,,550
,Non-inventory Part,017-Q9999,Upgrade Kit for UL 325 Code,Tax,,1200
,Non-inventory Part,017-QC208,Clutch assembly,Tax,,170
,Non-inventory Part,017-QK75-5092,Cut Off Switch,Tax,,90
,Non-inventory Part,017-Qmisc,Elite Miracle Harness,Tax,,110
,Non-inventory Part,017-QPSA,Aluminun Diie Cast Stop,Tax,,50
,Non-inventory Part,017-RS45,Translator board,Tax,,550
,Non-inventory Part,017-RSCARD,Magnetic card,Tax,,8.5
,Non-inventory Part,017-solar3,Robo solar panel,Tax,,971.25
,Non-inventory Part,017-T037,Light Fixture - Elite Entry Telephone System,Tax,,115
,Non-inventory Part,017-T060,Elite Dial Code Surge Protector,Tax,,360
,Non-inventory Part,018-001,Standard Swing Gate Approximately,Tax,,900
,Non-inventory Part,018-002,Standard Sliding Gate,Tax,,1000
,Non-inventory Part,018-003,Standard Overhead Gate,Tax,,1200
,Non-inventory Part,018-004,Standard fence panel approximately,Tax,,0
,Non-inventory Part,018-005,Standard Pedestrian Gate Approximatelly 48-inches Wide by 79-inches High.,Tax,,475
,Non-inventory Part,018-006,Standard Pedestrian Gate Approximately 36-inches Wide by 79-inches High,Tax,,375
,Non-inventory Part,018-007,Standard Enclosure Approximately 10-feet to 18-feet wide by 8-feet  to 10-feet high,Tax,,450
,Non-inventory Part,018-008,Custom Swing Gate Approximately,Tax,,1000
,Non-inventory Part,018-009,Custom Sliding Gate Approximately 17-Feet Long By 6-Feet High ( 2-inch square tubing frame and 3...,Tax,,1100
,Non-inventory Part,018-010,Custom wood fence with steel frame,Tax,,38
,Non-inventory Part,018-011,Custom wood pedestrian gate,Tax,,350
,Non-inventory Part,018-012,Custom wood gate with steel frame,Tax,,1000
,Non-inventory Part,018-013,Custom Enclosure,Tax,,1800
,Non-inventory Part,018-014,Hand rail,Tax,,150
,Non-inventory Part,018-015,Trash enclosure manufactured with corrugated sheet metal solid panel and 2-inch angle frame.,Tax,,800
,Non-inventory Part,018-016,Window guardvapproximately,Tax,,0
,Non-inventory Part,018-017,Guard rail,Tax,,25
,Non-inventory Part,018-018,Upgrade steeps,Tax,,0
,Non-inventory Part,018-019,14' x 24' Vent Cover,Tax,,40
,Non-inventory Part,018-020,One hinge grill to cover phone panel.,Tax,,80
,Non-inventory Part,018-021,"Barrier gate approximately    feet long by    feet high, barrier to be manufactured with 5-inch ...",Tax,,2584
,Non-inventory Part,018-022,Steel cage,Tax,,450
,Non-inventory Part,018-023,Curb and punch pickets,Tax,,0
,Non-inventory Part,018-024,drain covers,Tax,,280
,Non-inventory Part,018-025,Custom perforated sheet metal,Tax,,467.5
,Non-inventory Part,018-026,Tubing Shapes,Tax,,0
,Non-inventory Part,018-027,Bike Rack,Tax,,450
,Non-inventory Part,018-028,"Screen door, Door to be manufactured with 1 1/2-inch square tubing frame, 3/4-inch square picket...",Tax,,450
,Non-inventory Part,018-029,Residential Chain-Link gate,Tax,,120
,Non-inventory Part,018-030,Phone Cover,Tax,,250
,Non-inventory Part,018-031,Chain-Link Pane Approximately,Tax,,350
,Non-inventory Part,018-032,Chain-link gate approximately,Tax,,0
,Non-inventory Part,018-033,Header,Tax,,450
,Non-inventory Part,018-034,Wall Shelf bracket.,Tax,,50
,Non-inventory Part,018-036,Folding gate approximately  -feet wide by  -feet high.,Tax,,700
,Non-inventory Part,018-037,Frame 16' x 13',Tax,,10
,Non-inventory Part,018-038,Roof Access Ladder,Tax,,650
,Non-inventory Part,018-039,ZRC Paint,Tax,,168.3
,Non-inventory Part,018-040,ZRC Thinner,Tax,,24
,Non-inventory Part,018-041,One piece aluminum garage door,Tax,,750
,Non-inventory Part,018-042,Gate and fence extensions,Tax,,450
,Non-inventory Part,018-043,Steel Stir case with precast steps,Tax,,0
,Non-inventory Part,018-044,Perforated metal with flat bar frame.,Tax,,25
,Non-inventory Part,018-045,Operator Cage,Tax,,225
,Non-inventory Part,018-046,Low head room sectional garage doors with no windows and non insulated.,Tax,,825
,Non-inventory Part,018-047,Double garage door non insulated with windows.,Tax,,1000
,Non-inventory Part,018-048,Model 2285/4285/2286 raised panel/ flush sandwich door.,Tax,,1800
,Non-inventory Part,018-049,Barrier,Tax,,0
,Non-inventory Part,018-050,Barrier Gate,Tax,,0
,Non-inventory Part,018-051,Finger print reader.,Tax,,550
,Non-inventory Part,018-052,Roll up door,Tax,,0
,Non-inventory Part,018-053,Canvas,Tax,,0
,Non-inventory Part,018-080-001,Icon26-250 Elite Phone entry system,Tax,,4400
,Non-inventory Part,018-080-002,T Dial LC250 Phone Entry System,Tax,,2950
,Non-inventory Part,019-001,"24VDC High-Traffic Commercial Slide Gate Operator..Rated for gates up to 50ft. and 1,500 lbs...M...",Tax,,2800
,Non-inventory Part,019-002,Heavy-duty commercial swing gate operator model # CSW200,Tax,,2100
,Non-inventory Part,019-003,CSW-200 UL Heavy-duty Commercial Swing Gate Operator / 7 years limited warranty from manufacture...,Tax,,2100
,Non-inventory Part,019-004,SL-3000 UL 1 HP Heavy-duty commercial gate operator / 7 years limited warranty from manufacturer...,Tax,,2400
,Non-inventory Part,019-006,CSW-200 UL 1 HP  Heavy-duty Commercial Swing Gate Operator / 7 years limited warranty from manuf...,Tax,,2400
,Non-inventory Part,019-007,Linear AE-500,Tax,,1600
,Non-inventory Part,019-009,Residential Actuator-1,Tax,,975
,Non-inventory Part,019-010,Actuator Master and Slave.,Tax,,1850
,Non-inventory Part,019-011,HCT Heavy-duty Commercial Overhead Gate Operator (Hercules) / 5 years limited  warranty from man...,Tax,,1900
,Non-inventory Part,019-012,Miracle-One Residential Gate Operator with Battery Back Up / 2 years limited warranty from manuf...,Tax,,1450
,Non-inventory Part,019-013,Miracle-One Master and Slave Gate Operator / 2 years limited warranty from manufacturer,Tax,,2400
,Non-inventory Part,019-0131,All o MAtic swing gate sw200 CHASSIS.,Tax,,0
,Non-inventory Part,019-014,RoboSlide Residential Gate Operator 12 Volt DC with power pack / 3 year limited warranty from ma...,Tax,,1400
,Non-inventory Part,019-015,RoboSwing Residential Swing Gate Operator / 3 years limited warranty from manufacturer,Tax,,1840
,Non-inventory Part,019-018,All-O-Matic Swing Gate Operator SW-300 / 7 years limited warranty from manufacturer,Tax,,2075
,Non-inventory Part,019-019,All-O-Matic residential gate operator SL-100 1/2-HP / 5-years limited warranty from manufacturer...,Tax,,1900
,Non-inventory Part,019-020,Concrete Gate Operator Base,Tax,,150
,Non-inventory Part,019-021,Apollo-1000 Residential gate operator,Tax,,1300
,Non-inventory Part,019-022,GC-834 Intercom System Outside Head Unit,Tax,,900
,Non-inventory Part,019-025,AGS-3000 Heavy-duty Slide Gate Operator,Tax,,2252.5
,Non-inventory Part,019-026,Commercial Slide Gate Operator Model #910,Tax,,1980
,Non-inventory Part,019-027,Commercial Phone Entry System Model # ICON26,Tax,,4500
,Non-inventory Part,019-030,Commercial swing gate operator (Hydraulic Arm). Model # FAAC-400 115-Volts,Tax,,1980
,Non-inventory Part,019-031,Dial Code VF,Tax,,2000
,Non-inventory Part,019-032,Memory Card,Tax,,0
,Non-inventory Part,019-033,3255  3 series chain drive,Tax,,350
,Non-inventory Part,019-034,9700 Garage Door Opener With Photo Cells,Tax,,385
,Non-inventory Part,019-035,"Genie Garage door opener, screw drive",Tax,,400
,Non-inventory Part,019-039,"Low profile swing gate operator 1/2 , 3/4 or 1 hp with pedal release.",Tax,,2200
,Non-inventory Part,019-040,All o Matic Over head gate operator with  years warranty,Tax,,1961
,Non-inventory Part,019-041,Ramsey Battery back-up system.,Tax,,495
,Non-inventory Part,019-042,Heavy-duty gate operator 1 HP 110-vlts gates up to 45-feet with maximum weight of 2000 lbs,Tax,,2600
,Non-inventory Part,019-045,Faac 400 Hydraulic Swing Gate Operator,Tax,,2200
,Non-inventory Part,019-046,L1000 Arm Operator,Tax,,535.5
,Non-inventory Part,019-049,Icon26 Ht1000,Tax,,6500
,Non-inventory Part,019-050,Metal Base,Tax,,300
,Non-inventory Part,019-051,Token Unit,Tax,,1050
,Non-inventory Part,019-052,"Token 7/8""",Tax,,0.85
,Non-inventory Part,019-053,Light-Duty Door Opener.,Tax,,590
,Non-inventory Part,019-054,"The Dial Code Controller System Kit. includes dial code controller T500 memory card, internal mo...",Tax,,5900
,Non-inventory Part,019-055,ECR-485B Elite Card Reader For Outdoor Applications.,Tax,,760
,Non-inventory Part,019-056,Rs-Card,Tax,,7.5
,Non-inventory Part,019-060,222EX Hydraulic Slide Gate Operator 2HP UL listed.,Tax,,8200
,Non-inventory Part,019-061,Aluminum Channel Wheel Track (10'),Tax,,240
,Non-inventory Part,019-062,Gate Operator Repair,Tax,,420
,Non-inventory Part,019-063,Ram-3000 Board Repair,Tax,,150
,Non-inventory Part,019-064,Mega Arm 24 vdc (12' or 15' arm) Batteries not included.,Tax,,2550
,Non-inventory Part,019-065,Manual release rope.,Tax,,15
,Non-inventory Part,019-066,Residential Master & Slave gate operator Model # MGSD-3,Tax,,3500
,Non-inventory Part,019-068,15' Aluminum Arm (yellow/black strips) counter weight required,Tax,,214
,Non-inventory Part,019-070,Counter weight,Tax,,60
,Non-inventory Part,019-075,Electrically powered auto-equalizers.,Tax,,3094
,Non-inventory Part,019-076,FAAC 750 under ground gate operators with 2-years limited warranty,Tax,,4608
,Non-inventory Part,019-078,Radio receiver with two hand held transmitters.,Tax,,357
,Non-inventory Part,019-079,Control Box cover,Tax,,20
,Non-inventory Part,019-080,FAAC 402 Single Kit,Tax,,1500
,Non-inventory Part,019-081,RE1 Phone entry system residential.,Tax,,1232.5
,Non-inventory Part,019-082,1Horse power slide gate operator cap. 100-feet long gates up to 3000 pounds,Tax,,3607.5
,Non-inventory Part,019-083,1 Horse power swing gate operator master and slave set up.440-460 volts three face power.,Tax,,8337.65
,Non-inventory Part,019-084,Arm Drive R-250,Tax,,200
,Non-inventory Part,019-086,Rebuild gate operator i year warranty.,Tax,,1100
,Non-inventory Part,019-087,Manual Key Release,Tax,,50
,Non-inventory Part,019-088,Indoor key pad with two relay output model #CY-6520,Tax,,165
,Non-inventory Part,019-089,Residential gate operator,Tax,,9911
,Non-inventory Part,019-090,All-o-Matic Overhead Operator,Tax,,1790
,Non-inventory Part,019-091,All-o-Matic Battery Back-up,Tax,,600
,Non-inventory Part,019-092,All-o-Matic 350 1/2 hp 110 Vlts.,Tax,,2160
,Non-inventory Part,019-093,All-o-Matic Pulley,Tax,,45
,Non-inventory Part,019-094,All- O- matic gate operator model # SL150 1/2 HP 5-years warranty,Tax,,2200
,Non-inventory Part,019-095,Swing gate operator model #All-o-matic C300 / 7-years warranty from manufacturer- 5-years warran...,Tax,,2050
,Non-inventory Part,019-096,Doreen Gear Box,Tax,,550
,Non-inventory Part,019-097,Doorbell residential phone entry system (DG-DP28WT) with doorbell controller (DG-28DPSW),Tax,,680
,Non-inventory Part,019-098,3255 lift master garage opener 1/2 horse power,Tax,,585
,Non-inventory Part,019-099,Hi-Security HYS-222SSS Slide -1HP 230 Volt 1 Phase,Tax,,8645.96
,Non-inventory Part,019-100,G-5 Viking master and slave gate operator with battery back-up system (2 years warranty from the...,Tax,,3220.5
,Non-inventory Part,019-101,G-5 Viking Swing Single Gate Operator includes two single transmitters / 3 years warranty from m...,Tax,,1814.5
,Non-inventory Part,019-102,"Lift master model H manual hoist, 1/2 horse power 110 volts 2 years warranty from manufacture.",Tax,,1100
,Non-inventory Part,019-103,Inside intercom station model # PA-VLGC001AS,Tax,,760
,Non-inventory Part,019-104,Out side intercom unit model number PA-VLGC001AS,Tax,,400
,Non-inventory Part,019-105,"All-O-Matic Gate Operator Model #SL-150 DC, 1-HP motor with battery back-up and pedal manual rel...",Tax,,3451
,Non-inventory Part,019-106,"All-O-Matic slide gate operator 1 hp motor 240 volts single face, 5 years warranty.",Tax,,3500
,Non-inventory Part,019-107,All-O-Matic Gate Operator Model #08200 DC -1/2 horse power overhead gate operator with built-in ...,Tax,,2600
,Non-inventory Part,019-108,All-O-Matic Gate Operator model #SW-300 DC 1/2 HP with battery back-up system. 7 Years full warr...,Tax,,3100
,Non-inventory Part,019-109,"All-O-Matic Gate Operator Model #SL-150 DC, 1/2-HP motor with battery back-up and pedal manual r...",Tax,,2750
,Non-inventory Part,019-110,Slide gate operator model # SL-90 1/2 HP.,Tax,,2350
,Non-inventory Part,019-111,All-O-Matic Overhead Gate Operator Model #OH200DC. Includes battery back-up system allowing gate...,Tax,,2450
,Non-inventory Part,019-112,Rsl12V Low voltage slide gate operator with battery back up system.,Tax,,2200
,Non-inventory Part,019-113,Lift Master  Residential Swing Gate Operator model #LA 500,Tax,,1850
,Non-inventory Part,019-114,Ramset 1000 1/2 HP motor 7 years warranty commercial.,Tax,,1750
,Non-inventory Part,019-115,Handicap door opener with push open plates,Tax,,1950
,Non-inventory Part,019-116,Handicap double door opener with push open plates.,Tax,,3500
,Non-inventory Part,019-117,Lift Master single gate operator model #LA-500.,Tax,,1900
,Non-inventory Part,019-118,LA-500 Master and slave operators.,Tax,,2500
,Non-inventory Part,019-119,Came barrier arm unit model gard4 professional. Lighted arm,Tax,,2900
,Non-inventory Part,019-120,Parking ticket dispenser model number TD-6030,Tax,,7200
,Non-inventory Part,019-121,Sl90 DC 1/2 HP 24VDC brushless motor with battery back up system.,Tax,,2000
,Non-inventory Part,019-122,Linear AE-100: Commercial Telephone Entry System - One Door,Tax,,1215
,Non-inventory Part,019-123,Linear TR-100 Trim Ring for AE-100 Telephone System.,Tax,,169
,Non-inventory Part,019-124,All-O-Matic Gate Operator model #350 DC 1/2 HP with battery back-up system and paddle release. 7...,Tax,,3100
,Non-inventory Part,019-125,350 DC 1 HP with battery back system and paddler release.,Tax,,3600
,Non-inventory Part,019-126,Click to enter.,Tax,,1394
,Non-inventory Part,019-127,Enforcer key pad with 200 users model # enfsk-3523-sdq,Tax,,330
,Non-inventory Part,019-129,All o Matic solar panel 24 volts.,Tax,,485
,Non-inventory Part,019-130,All-O-Matic Slide gate operator model #SL-100 DC - 24 VDC Brushless Motor � HP � Continuous duty...,Tax,,2480
,Non-inventory Part,019-132,All o Matic regular gate arm.,Tax,,0
,Non-inventory Part,019-133,40 watts 24 volts solar panel.,Tax,,600
,Non-inventory Part,019-135,All-O-Matic compact gate operator model #Toro-24 (Master and Slave) with 4-years warranty from m...,Tax,,2850
,Non-inventory Part,019-136,Linear AE-100: Commercial Telephone Entry System.,Tax,,1360
,Non-inventory Part,019-137,All-O-Matic compact swing gate operator model #Toro-24 with 4-years warranty from manufacturer -...,Tax,,1900
,Non-inventory Part,019-138,Faac 400 115 volts.,Tax,,2210
,Non-inventory Part,019-139,Sl-100 operator cover.,Tax,,350
,Non-inventory Part,019-140,Sw375 swing gate operator heavy duty 1 HP.,Tax,,9500
,Non-inventory Part,019-141,Viking monitor.,Tax,,160
,Non-inventory Part,019-142,Sl175 slide gate operator for heavy gate up to 8000 lbs and 75 feet in length.,Tax,,5100
,Non-inventory Part,019-143,Barrier arm with double wish bone 20-foot arm.,Tax,,5400
,Non-inventory Part,019-144,Under ground gate operator model number I-8..Master and slave set up.,Tax,,5500
,Non-inventory Part,019-145,Under ground gate operator model number I-8..Single set up.,Tax,,3100
,Non-inventory Part,019-9210-414,DK Motor Speed Controller,Tax,,2000
,Non-inventory Part,019-999,The LiftMaster� EL1SS Telephone Intercom and Access Control System provides wired telephone inte...,Tax,,1100
,Non-inventory Part,020-001,Gate Bracket Front 400 OP,Tax,,45
,Non-inventory Part,020-004,Key Cover,Tax,,35
,Non-inventory Part,020-005,Positive Stops,Tax,,185
,Non-inventory Part,020-006,FAAC 400 Arm,Tax,,1350
,Non-inventory Part,020-007,Cover Front,Tax,,100
,Non-inventory Part,020-008,Front Swivel Bolt,Tax,,35
,Non-inventory Part,020-010,Rubber gate stops,Tax,,18.5
,Non-inventory Part,020-011,Piston Cover - FAAC,Tax,,90
,Non-inventory Part,020-012,FAAC 400 seal kit,Tax,,90
,Non-inventory Part,020-015,Sensor - Hy Security / SP014F,Tax,,58
,Non-inventory Part,020-016,Limit ram Mx-000968,Tax,,60
,Non-inventory Part,020-017,FAAC 25uF  motor capacitor,Tax,,30
,Non-inventory Part,020-018,SWG-121 complete arm assembly,Tax,,350
,Non-inventory Part,020-019,Cabinet door with lock assembly.,Tax,,320
,Non-inventory Part,020-020,Battery back up system M/S 115 volts set up.,Tax,,2040
,Non-inventory Part,020-2500-2393,Apex controller module,Tax,,799
,Non-inventory Part,021-001,Factory Repair,Tax,,0
,Non-inventory Part,021-002,Doreen Limit Nut,Tax,,45
,Non-inventory Part,021-003,Front Idler Sprocket / Lynx,Tax,,95
,Non-inventory Part,022-001,C/face 1/2 HP Motor,Tax,,348
,Non-inventory Part,022-002,Larko Limit Nut,Tax,,20
,Non-inventory Part,022-003,After market limit assembly.,Tax,,80
,Non-inventory Part,023-001,Genie Limit Switch,Tax,,8
,Non-inventory Part,023-002,Genie Key Pad,Tax,,75
,Non-inventory Part,023-003,Genie Intellicode Receiver ACSGT Type 3,Tax,,50
,Non-inventory Part,023-004,Genie Carriage,Tax,,65
,Non-inventory Part,023-005,Trolley,Tax,,65
,Non-inventory Part,023-007,Arm Bracket with Bolts,Tax,,15
,Non-inventory Part,023-008,Genie Intelicode Transmitter 1 Button,Tax,,24
,Non-inventory Part,023-009,Genie Intelicode Transmitter 2 Button,Tax,,32
,Non-inventory Part,023-010,Genie Universal Receiver,Tax,,90
,Non-inventory Part,023-011,Genie Excelerator - Head Only,Tax,,360
,Non-inventory Part,023-012,Lift Master Gear Assembly,Tax,,50
,Non-inventory Part,23006,Gate or Garage arm assy.,Tax,,59
,Non-inventory Part,024-001,Click 2 Enter Radio System,Tax,,1881
,Non-inventory Part,024-002,Westcovina fire/police dept. card reader,Tax,,402
,Non-inventory Part,024-003,Card Reader Repair,Tax,,185
,Non-inventory Part,024-005,Card Reader Loaner,Tax,,20
,Non-inventory Part,024-006,Card Reader Box,Tax,,170
,Non-inventory Part,024-007,Double goose-neck post,Tax,,390
,Non-inventory Part,024-008,Slave proximity card reader.,Tax,,550
,Non-inventory Part,024-009,slave proximity card reader only no enclosure.,Tax,,275
,Non-inventory Part,024-010,Mechanical Card Reader,Tax,,425
,Non-inventory Part,024-011,Plain cards.,Tax,,2.95
,Non-inventory Part,025-001,Mahogany 12-inches by 1-inch,Tax,,14
,Non-inventory Part,025-002,Cedar 12-inches by 1-inch.,Tax,,10
,Non-inventory Part,025-003,Clear redwood finger joined 12-inches by 1-inch by 12-feet long,Tax,,65
,Non-inventory Part,025-004,Clear redwood finger joined 12-inches by 1-inch by 14-feet long,Tax,,75
,Non-inventory Part,026-001,DoorKing Counter Sensor,Tax,,150
,Non-inventory Part,026-0011508-111,Key Fobs Minimum Order of 50 units,Tax,,357.5
,Non-inventory Part,026-002,Memory Chip 125 Cap.,Tax,,125
,Non-inventory Part,026-1150,1/2 HP over head gate operator.,Tax,,2023
,Non-inventory Part,026-1200-007,Three button gate station interior only.,Tax,,300
,Non-inventory Part,026-1207-080,Key switch housing with hardware,Tax,,185
,Non-inventory Part,026-1209-080,Mortise cylinder key switch with intercom,Tax,,350
,Non-inventory Part,026-1212-040,Standard Cards,Tax,,3.5
,Non-inventory Part,026-1212-080,"Basic Stand Alone Card Reader ( mechanical type insertion reader one code, code can be chage how...",Tax,,400
,Non-inventory Part,026-1212-80,Card Reader,Tax,,378
,Non-inventory Part,026-1400-080,Fire Department Padlock Box,Tax,,110
,Non-inventory Part,026-1401-080,Knox switch box,Tax,,110
,Non-inventory Part,026-1402,Postal lock cabinet only. Postal lock must be provided by postal service.,Tax,,120
,Non-inventory Part,026-1470-080,Wireless TRA board kit 900 MHZ F/2358,Tax,,320
,Non-inventory Part,026-1500-99,Motor Little Giant,Tax,,185
,Non-inventory Part,026-1501-99,Motor Capacitor Little Giant,Tax,,80
,Non-inventory Part,026-1502-022,"Key fobs sold on packs of 50, 50 minimum.",Tax,,357
,Non-inventory Part,026-1503-080,"Basic Digital Entry Key Pad ( 2 four entry codes, 2 hold open codes and 2 five entry codes).",Tax,,356
,Non-inventory Part,026-1503-081,"DK Basic Digit Entry Lighted Housing Key Pad Model #1503 (2 four digit entry, 2 five digit code ...",Tax,,460
,Non-inventory Part,026-1504-081,Combines the 1503 keypad into a common housing with an intercom sub-station. This sub-station ma...,Tax,,500
,Non-inventory Part,026-1506-080,DoorKing Stand Alone Digital Key Pad - Model #1506,Tax,,600
,Non-inventory Part,026-1506-081,Digital Key Pad,Tax,,380
,Non-inventory Part,026-1506-082,Programmable Digital Entry Keypads Surface Mount 50 memory,Tax,,540.2
,Non-inventory Part,026-1506-084,Digital key Pad With 250 Memory Capacity,Tax,,800
,Non-inventory Part,026-1506-086,"Stores up to 1000 4-digit entry codes, six 5-digit entry codes,two Form C dry contact relays, ti...",Tax,,605
,Non-inventory Part,026-1506-092,Programmable Digital Entry Keypad - Flush Mount. Stores up to 10 four digit entry codes 6 five d...,Tax,,575
,Non-inventory Part,026-1508-018,DK HID ProxyCard 2,Tax,,8.5
,Non-inventory Part,026-1508-020,Cards For Proximity Readers DK AWID - 50 Qty,Tax,,250
,Non-inventory Part,026-1508-110,Doorking proximity clamshell type cards,Tax,,6.85
,Non-inventory Part,026-1508-111,Id Batches Proximity Card,Tax,,8.5
,Non-inventory Part,026-1508-120,Hid cards for proximity card readers with individual codes. cards can only be order in packs of 50,Tax,,255
,Non-inventory Part,026-1508-123,Key tags,Tax,,0
,Non-inventory Part,026-1508-137,Proximity Cards,Tax,,8.42
,Non-inventory Part,026-1510-038,card reader head / For touch pad stand alone unit.,Tax,,578
,Non-inventory Part,026-1510-040,Magnetic Cards,Tax,,9
,Non-inventory Part,026-1510-041,Programing Deck,Tax,,60
,Non-inventory Part,026-1512-081,Touch Plate Card Reader,Tax,,1100
,Non-inventory Part,026-1515,"Stores up to 400 codes, 4 or 5 digit...Program from the keypad or from an Android Smartphone wit...",Tax,,500
,Non-inventory Part,026-1515-080,"Digital key pad with 400 codes, 4 digit or 5 digits.",Tax,,356
,Non-inventory Part,026-1515-081,Digital key pad stand along with android app.,Tax,,500
,Non-inventory Part,026-1520-040,125 capacity memory chip.,Tax,,60
,Non-inventory Part,026-1520-041,DoorKing Memory Chip - 500 Card Capacity,Tax,,150
,Non-inventory Part,026-1520-080,DoorKing Stand Alone Outdoor Proximity Card Reader Model #1520,Tax,,790
,Non-inventory Part,026-1520-081,Door controller.,Tax,,800
,Non-inventory Part,026-1520-082,Stand alone hid card readers.,Tax,,833
,Non-inventory Part,026-1520-083,Proximity card reader 500 memory capacity,Tax,,902.5
,Non-inventory Part,026-1520-084,Stand alone proximity card reader out door unit.,Tax,,600
,Non-inventory Part,026-1529-080,Stand alone card reader with 500 memory card capacity,Tax,,680
,Non-inventory Part,026-1581-081,Door controller with single out put.,Tax,,650
,Non-inventory Part,026-1601-048,14-feet Wood Arm,Tax,,111
,Non-inventory Part,026-1601-071,"2' X2' X 12' Plastic Arm, White PVC with Black And Yellow Caution Tape.",Tax,,125
,Non-inventory Part,026-1601-080,"Barrier Gate Operator, 1/2HP 110-120 VAC.",Tax,,2400
,Non-inventory Part,026-1601-216,14-feet aluminum arm.,Tax,,250
,Non-inventory Part,026-1601-242,Aluminum arm mounting kit.,Tax,,150
,Non-inventory Part,026-1601-260,Arm Foam Padding,Tax,,80
,Non-inventory Part,026-1601-271,Plastic 2-inch square arm with reinforce end.,Tax,,156
,Non-inventory Part,026-1601-571,Red and white reinforced arm.,Tax,,160
,Non-inventory Part,026-1602-040,20 Feet Whishbone Wood Arm,Tax,,255
,Non-inventory Part,026-1610-080,Six foot trafic spikes in ground unit,Tax,,1250
,Non-inventory Part,026-1610-150,Speed bumps concrete mount only 2' x 11.5' x 72',Tax,,350
,Non-inventory Part,026-1610-999,Traffic control spikes repair kit.,Tax,,0
,Non-inventory Part,026-1615-080,Warning sing,Tax,,824.5
,Non-inventory Part,026-1702-080,Non-lighted Directory Unit Model #1702-080,Tax,,200
,Non-inventory Part,026-1710,Lighted directory unit.,Tax,,450
,Non-inventory Part,026-1800-080,"Use the 1800-080 with the following DKS entry systems:  1833, 1834, 1835, 1837, 1838 with Remote...",Tax,,800
,Non-inventory Part,026-1800-081,"Use the 1800-081 with the following DKS entry systems: 1802-AP, 1808-AP, 1810-AP, 1812-AP, 1838-...",Tax,,800
,Non-inventory Part,026-1801-080,"Use the 1801-080 with the following DKS entry systems:  1802, 1802-EPD, 1803, 1808, 1810, 1812. ...",Tax,,600
,Non-inventory Part,026-1802-082,Phone entry system with electronic directory / hand free.,Tax,,1046
,Non-inventory Part,026-1802-EPD,DoorKing Telephone Entry System Model #1802EPD with electronic directory / 2 years limited manuf...,Tax,,1475
